timestamp,zone_name,people_count,density,avg_speed_mps,stagnation_ratio,avg_dwell_time_sec,flow_conflict_ratio,directional_entropy,acceleration_variance,zone_transitions,inflow,outflow,risk_label,scenario
25.0,FOOD_COURT_A,15.88,0.1058,1.3766,0.1562,34.74,0.0683,0.364,0.002655,10.08,6.15,3.93,SAFE,weekday_normal
26.0,FOOD_COURT_A,21.88,0.1459,1.542,0.0611,61.28,0.056,0.2817,0.002564,9.6,6.31,3.3,SAFE,weekday_normal
27.0,FOOD_COURT_A,15.89,0.1059,1.2584,0.0359,67.02,0.0328,0.3275,0.003052,6.83,5.66,1.17,SAFE,weekday_normal
28.0,FOOD_COURT_A,22.05,0.147,1.3767,0.0723,52.25,0.0839,0.3889,0.000916,7.82,5.42,2.4,SAFE,weekday_normal
29.0,FOOD_COURT_A,34.05,0.227,1.2265,0.1164,50.12,0.0637,0.3792,0.001685,7.22,2.62,4.6,SAFE,weekday_normal
30.0,FOOD_COURT_A,30.76,0.205,1.4621,0.1201,52.64,0.0575,0.4674,0.003378,3.08,2.43,0.64,SAFE,weekday_normal
31.0,FOOD_COURT_A,16.84,0.1123,1.3744,0.0975,45.01,0.104,0.4896,0.004252,8.81,5.46,3.36,SAFE,weekday_normal
32.0,FOOD_COURT_A,18.5,0.1234,1.4018,0.0879,38.56,0.1407,0.5163,0.001276,7.96,2.83,5.13,SAFE,weekday_normal
33.0,FOOD_COURT_A,13.31,0.0887,1.3697,0.1228,42.94,0.0731,0.4413,0.001535,8.07,4.96,3.1,SAFE,weekday_normal
34.0,FOOD_COURT_A,22.52,0.1501,1.4886,0.0886,46.52,0.0936,0.4857,0.004176,5.11,2.78,2.33,SAFE,weekday_normal
35.0,FOOD_COURT_A,29.72,0.1982,1.341,0.1586,54.46,0.0796,0.4241,0.001949,6.36,3.47,2.89,SAFE,weekday_normal
36.0,FOOD_COURT_A,31.36,0.209,1.3772,0.1383,48.77,0.0394,0.3363,0.002204,7.62,4.19,3.43,SAFE,weekday_normal
37.0,FOOD_COURT_A,55.1,0.3674,0.8805,0.2534,81.56,0.2707,0.6785,0.012419,17.11,12.38,4.73,WARNING,weekday_normal
38.0,FOOD_COURT_A,54.41,0.3628,0.8422,0.2403,104.69,0.2942,0.5847,0.01574,4.34,2.47,1.87,WARNING,weekday_normal
39.0,FOOD_COURT_A,57.59,0.3839,0.5944,0.3725,74.8,0.4405,0.734,0.01148,12.75,2.72,10.03,WARNING,weekday_normal
40.0,FOOD_COURT_A,82.21,0.5481,0.3518,0.4098,123.2,0.5305,0.8121,0.022397,26.91,11.91,15.0,HIGH,weekday_normal
41.0,FOOD_COURT_A,89.93,0.5995,0.228,0.6792,133.07,0.5552,0.8454,0.0271,20.21,13.13,7.08,HIGH,weekday_normal
42.0,FOOD_COURT_A,82.06,0.5471,0.2011,0.7281,223.25,0.5806,0.9355,0.026582,27.99,14.46,13.53,HIGH,weekday_normal
43.0,FOOD_COURT_A,88.58,0.5905,0.2595,0.8374,165.96,0.6282,0.9349,0.015626,11.78,7.45,4.33,HIGH,weekday_normal
44.0,FOOD_COURT_A,90.83,0.6056,0.0849,0.7143,213.15,0.6632,0.894,0.022105,23.0,13.39,9.61,HIGH,weekday_normal
45.0,FOOD_COURT_A,74.87,0.4991,0.0347,0.7108,153.42,0.6518,0.8837,0.018868,16.73,9.46,7.27,HIGH,weekday_normal
46.0,FOOD_COURT_A,103.28,0.6885,0.1421,0.6797,158.71,0.5445,0.8288,0.01513,21.05,10.43,10.62,HIGH,weekday_normal
47.0,FOOD_COURT_A,73.08,0.4872,0.1476,0.7259,170.47,0.5539,0.878,0.026281,18.13,9.41,8.72,HIGH,weekday_normal
48.0,FOOD_COURT_A,77.55,0.517,0.4601,0.4399,79.28,0.4498,0.6703,0.016384,13.64,9.42,4.22,WARNING,weekday_normal
49.0,FOOD_COURT_A,62.51,0.4167,0.3906,0.4122,77.05,0.2594,0.6318,0.00953,20.07,11.22,8.85,WARNING,weekday_normal
50.0,FOOD_COURT_A,51.19,0.3412,0.5718,0.5559,107.37,0.271,0.7763,0.009901,15.47,5.33,10.14,WARNING,weekday_normal
51.0,FOOD_COURT_A,44.68,0.2979,0.4503,0.4722,87.32,0.2712,0.6674,0.008346,11.69,7.12,4.57,WARNING,weekday_normal
52.0,FOOD_COURT_A,54.87,0.3658,0.5794,0.4243,97.48,0.2547,0.6389,0.012753,19.28,7.52,11.76,WARNING,weekday_normal
53.0,FOOD_COURT_A,66.7,0.4447,0.5453,0.4332,82.39,0.1741,0.5538,0.012394,12.04,7.65,4.39,WARNING,weekday_normal
54.0,FOOD_COURT_A,50.55,0.337,0.6523,0.5908,63.02,0.2658,0.6136,0.010011,18.32,8.9,9.42,WARNING,weekday_normal
55.0,FOOD_COURT_A,59.35,0.3957,0.3393,0.3875,95.51,0.2895,0.6861,0.009289,13.48,7.22,6.26,WARNING,weekday_normal
56.0,FOOD_COURT_A,55.62,0.3708,0.5711,0.3406,105.45,0.2886,0.6595,0.013089,10.72,9.59,1.13,WARNING,weekday_normal
57.0,FOOD_COURT_A,82.38,0.5492,0.4094,0.5719,100.57,0.422,0.6881,0.019458,26.53,11.06,15.48,HIGH,weekday_normal
58.0,FOOD_COURT_A,61.68,0.4112,0.6815,0.5,98.34,0.2887,0.7025,0.014816,12.89,8.42,4.46,WARNING,weekday_normal
59.0,FOOD_COURT_A,54.32,0.3621,0.7392,0.575,99.19,0.328,0.6546,0.00987,13.59,9.08,4.51,WARNING,weekday_normal
60.0,FOOD_COURT_A,40.15,0.2677,1.1321,0.2279,69.96,0.1904,0.439,0.004463,7.44,2.67,4.77,SAFE,weekday_normal
61.0,FOOD_COURT_A,32.71,0.2181,1.252,0.2172,44.36,0.0783,0.2623,0.005533,7.72,4.48,3.24,SAFE,weekday_normal
62.0,FOOD_COURT_A,25.76,0.1718,1.6782,0.1266,45.3,0.1294,0.4083,0.004064,7.86,4.16,3.7,SAFE,weekday_normal
63.0,FOOD_COURT_A,15.82,0.1055,1.6223,0.0865,34.7,0.0913,0.4072,0.004851,6.58,0.96,5.62,SAFE,weekday_normal
64.0,FOOD_COURT_A,25.99,0.1733,1.2247,0.1318,17.54,0.077,0.4549,0.005333,3.34,2.27,1.07,SAFE,weekday_normal
65.0,FOOD_COURT_A,21.12,0.1408,1.1644,0.0981,8.76,0.0776,0.3971,0.004675,11.29,6.27,5.01,SAFE,weekday_normal
66.0,FOOD_COURT_A,15.16,0.1011,1.2797,0.0659,32.4,0.0793,0.4124,0.002554,5.88,3.72,2.15,SAFE,weekday_normal
67.0,FOOD_COURT_A,23.43,0.1562,1.1235,0.0668,40.88,0.0646,0.3438,0.003015,8.7,3.12,5.58,SAFE,weekday_normal
68.0,FOOD_COURT_A,9.54,0.0636,0.9599,0.0406,45.9,0.0835,0.3617,0.002795,8.87,4.29,4.57,SAFE,weekday_normal
69.0,FOOD_COURT_A,9.84,0.0656,1.2917,0.1356,52.85,0.0494,0.3445,0.003624,6.06,1.67,4.39,SAFE,weekday_normal
70.0,FOOD_COURT_A,22.67,0.1511,1.0629,0.1205,50.01,0.1169,0.2987,0.002267,2.91,2.09,0.82,SAFE,weekday_normal
71.0,FOOD_COURT_A,32.18,0.2145,1.0674,0.1502,39.11,0.0516,0.2389,0.003628,7.54,1.58,5.96,SAFE,weekday_normal
72.0,FOOD_COURT_A,14.09,0.094,1.0649,0.1559,42.91,0.0621,0.4647,0.006206,6.9,4.51,2.39,SAFE,weekday_normal
73.0,FOOD_COURT_A,16.62,0.1108,1.1627,0.1314,38.7,0.0528,0.4359,0.002592,4.88,4.11,0.77,SAFE,weekday_normal
74.0,FOOD_COURT_A,17.07,0.1138,1.281,0.1775,59.6,0.0437,0.4536,0.002656,8.61,4.71,3.9,SAFE,weekday_normal
75.0,FOOD_COURT_A,5.9,0.0393,1.3149,0.0928,51.34,0.048,0.3647,0.000928,3.41,2.12,1.3,SAFE,weekday_normal
76.0,FOOD_COURT_A,20.06,0.1337,0.9276,0.1852,43.7,0.0731,0.4045,0.003229,4.54,1.22,3.32,SAFE,weekday_normal
77.0,FOOD_COURT_A,16.97,0.1132,1.3194,0.096,44.24,0.1275,0.3487,0.005606,7.04,4.56,2.48,SAFE,weekday_normal
78.0,FOOD_COURT_A,13.49,0.09,1.3985,0.0288,56.79,0.0573,0.3656,0.005272,8.23,3.68,4.55,SAFE,weekday_normal
79.0,FOOD_COURT_A,22.6,0.1507,1.4055,0.0979,47.8,0.0267,0.4258,0.003972,5.32,3.91,1.41,SAFE,weekday_normal
80.0,FOOD_COURT_A,24.31,0.1621,1.2243,0.1468,45.0,0.051,0.4822,0.001325,6.01,4.25,1.76,SAFE,weekday_normal
81.0,FOOD_COURT_A,29.77,0.1985,1.1746,0.0956,60.19,0.0768,0.5113,0.000418,8.56,3.9,4.66,SAFE,weekday_normal
82.0,FOOD_COURT_A,28.05,0.187,1.2006,0.15,42.38,0.0648,0.2247,0.003513,4.77,3.97,0.8,SAFE,weekday_normal
83.0,FOOD_COURT_A,12.83,0.0855,1.1266,0.1032,30.1,0.0497,0.2631,0.002079,7.12,3.45,3.68,SAFE,weekday_normal
84.0,FOOD_COURT_A,12.35,0.0824,1.2975,0.094,31.86,0.1356,0.3032,0.004358,6.9,5.93,0.97,SAFE,weekday_normal
85.0,FOOD_COURT_A,19.02,0.1268,1.1202,0.0749,34.37,0.13,0.4903,0.002608,6.28,2.25,4.03,SAFE,weekday_normal
86.0,FOOD_COURT_A,16.39,0.1092,1.0529,0.1915,51.66,0.0715,0.4409,0.002375,8.52,4.38,4.14,SAFE,weekday_normal
87.0,FOOD_COURT_A,26.24,0.1749,1.1249,0.0939,32.51,0.057,0.4095,0.005325,6.38,2.72,3.66,SAFE,weekday_normal
88.0,FOOD_COURT_A,8.47,0.0564,1.0252,0.1488,44.86,0.1102,0.3078,0.001597,7.88,4.19,3.69,SAFE,weekday_normal
89.0,FOOD_COURT_A,19.23,0.1282,1.2911,0.1359,56.16,0.1218,0.4884,0.003487,6.79,3.25,3.55,SAFE,weekday_normal
90.0,FOOD_COURT_A,16.54,0.1103,1.314,0.1284,52.55,0.0862,0.4268,0.004291,4.63,1.27,3.36,SAFE,weekday_normal
91.0,FOOD_COURT_A,20.37,0.1358,1.3471,0.1994,44.03,0.088,0.429,0.005596,7.1,3.36,3.74,SAFE,weekday_normal
92.0,FOOD_COURT_A,22.03,0.1469,1.3156,0.122,40.46,0.0722,0.4234,0.001679,7.55,4.95,2.6,SAFE,weekday_normal
93.0,FOOD_COURT_A,22.24,0.1483,1.1369,0.1224,60.08,0.0758,0.3604,0.005237,1.35,1.33,0.03,SAFE,weekday_normal
94.0,FOOD_COURT_A,25.41,0.1694,1.3538,0.1538,63.28,0.0725,0.2918,0.003511,5.93,4.45,1.48,SAFE,weekday_normal
95.0,FOOD_COURT_A,32.38,0.2158,1.2382,0.1264,47.95,0.0876,0.2624,0.005174,8.38,3.38,5.0,SAFE,weekday_normal
96.0,FOOD_COURT_A,50.31,0.3354,0.7975,0.3535,93.53,0.2825,0.5972,0.006647,17.58,7.81,9.77,WARNING,weekday_normal
97.0,FOOD_COURT_A,57.28,0.3819,0.609,0.4981,93.86,0.2086,0.6641,0.00801,14.12,9.1,5.02,WARNING,weekday_normal
98.0,FOOD_COURT_A,53.88,0.3592,0.6345,0.4033,82.61,0.4596,0.6405,0.014385,11.85,4.27,7.58,WARNING,weekday_normal
99.0,FOOD_COURT_A,33.89,0.2259,0.8611,0.189,56.25,0.1615,0.5984,0.007644,6.53,3.17,3.37,SAFE,weekday_normal
100.0,FOOD_COURT_A,19.83,0.1322,1.1049,0.1154,47.47,0.0994,0.3981,0.004667,6.71,1.91,4.81,SAFE,weekday_normal
101.0,FOOD_COURT_A,24.53,0.1635,1.4164,0.1435,46.37,0.0677,0.4581,0.004051,9.12,4.84,4.28,SAFE,weekday_normal
102.0,FOOD_COURT_A,22.92,0.1528,1.4312,0.1047,59.24,0.0876,0.6008,0.002798,5.58,3.81,1.78,SAFE,weekday_normal
103.0,FOOD_COURT_A,18.6,0.124,1.2651,0.1914,67.41,0.0945,0.4634,0.003107,6.21,4.42,1.79,SAFE,weekday_normal
104.0,FOOD_COURT_A,26.95,0.1796,1.2001,0.1666,60.89,0.0321,0.3433,0.000932,9.67,6.5,3.17,SAFE,weekday_normal
105.0,FOOD_COURT_A,33.56,0.2237,1.1698,0.1571,56.62,0.0215,0.507,0.004312,6.48,2.56,3.92,SAFE,weekday_normal
106.0,FOOD_COURT_A,26.87,0.1791,1.1399,0.0478,47.96,0.0581,0.5213,0.001294,5.44,3.85,1.59,SAFE,weekday_normal
107.0,FOOD_COURT_A,24.83,0.1656,0.9554,0.1331,40.98,0.0831,0.4325,0.003156,5.02,3.62,1.4,SAFE,weekday_normal
108.0,FOOD_COURT_A,20.78,0.1386,1.3425,0.1372,29.18,0.0575,0.4535,0.004233,10.48,5.33,5.15,SAFE,weekday_normal
109.0,FOOD_COURT_A,20.58,0.1372,1.4231,0.1212,37.53,0.0677,0.41,0.003318,7.99,4.59,3.4,SAFE,weekday_normal
110.0,FOOD_COURT_A,20.27,0.1351,1.0858,0.0984,47.47,0.0598,0.4038,0.00329,7.3,4.18,3.12,SAFE,weekday_normal
111.0,FOOD_COURT_A,27.42,0.1828,1.5312,0.0936,57.38,0.0448,0.4526,0.001612,8.76,2.56,6.2,SAFE,weekday_normal
112.0,FOOD_COURT_A,26.36,0.1757,1.1389,0.0968,69.75,0.0964,0.4416,0.001955,7.22,3.6,3.62,SAFE,weekday_normal
113.0,FOOD_COURT_A,25.45,0.1697,1.2934,0.051,69.58,0.0528,0.4379,0.001631,7.22,3.4,3.82,SAFE,weekday_normal
114.0,FOOD_COURT_A,24.54,0.1636,1.4792,0.109,56.11,0.0247,0.3329,0.004055,8.76,4.35,4.41,SAFE,weekday_normal
115.0,FOOD_COURT_A,26.02,0.1734,1.2575,0.108,46.51,0.0638,0.2878,0.0013,7.95,5.89,2.05,SAFE,weekday_normal
116.0,FOOD_COURT_A,13.44,0.0896,1.1641,0.0481,39.14,0.0799,0.3075,0.004016,5.8,5.8,0.0,SAFE,weekday_normal
117.0,FOOD_COURT_A,14.84,0.099,0.7518,0.1806,28.65,0.0339,0.4582,0.00672,9.75,5.58,4.17,SAFE,weekday_normal
118.0,FOOD_COURT_A,17.82,0.1188,1.1342,0.1163,45.9,0.0652,0.3376,0.002897,6.8,2.02,4.78,SAFE,weekday_normal
119.0,FOOD_COURT_A,16.55,0.1103,1.341,0.0389,34.88,0.1019,0.2988,0.002655,6.2,4.33,1.87,SAFE,weekday_normal
120.0,FOOD_COURT_A,30.83,0.2055,1.2812,0.0884,32.12,0.1257,0.3633,0.002086,7.63,3.6,4.03,SAFE,weekday_normal
121.0,FOOD_COURT_A,24.95,0.1663,1.2329,0.0982,33.77,0.0751,0.2712,0.005175,3.92,1.63,2.29,SAFE,weekday_normal
122.0,FOOD_COURT_A,27.14,0.1809,1.1118,0.1759,32.93,0.0853,0.2957,0.006764,5.75,1.64,4.11,SAFE,weekday_normal
123.0,FOOD_COURT_A,18.64,0.1243,1.1411,0.1173,41.84,0.0775,0.4497,0.007224,3.93,2.66,1.27,SAFE,weekday_normal
124.0,FOOD_COURT_A,22.34,0.1489,1.182,0.1226,35.94,0.039,0.2542,0.005634,8.94,5.16,3.78,SAFE,weekday_normal
125.0,FOOD_COURT_A,18.4,0.1227,1.1282,0.0982,36.18,0.0393,0.3017,0.002077,5.72,3.55,2.17,SAFE,weekday_normal
126.0,FOOD_COURT_A,16.69,0.1113,1.3012,0.1428,43.49,0.0807,0.5484,0.001081,6.02,1.65,4.37,SAFE,weekday_normal
127.0,FOOD_COURT_A,31.47,0.2098,1.107,0.1105,50.41,0.0824,0.4898,0.001135,4.96,3.75,1.2,SAFE,weekday_normal
128.0,FOOD_COURT_A,33.74,0.2249,1.1184,0.1583,33.87,0.0658,0.3087,0.002543,8.11,4.67,3.44,SAFE,weekday_normal
129.0,FOOD_COURT_A,32.3,0.2153,1.2091,0.1045,43.06,0.0715,0.4321,0.004202,3.65,2.32,1.33,SAFE,weekday_normal
130.0,FOOD_COURT_A,25.08,0.1672,1.3267,0.0657,27.61,0.1378,0.3146,0.004532,7.25,3.55,3.7,SAFE,weekday_normal
131.0,FOOD_COURT_A,22.39,0.1493,1.2523,0.0856,49.43,0.0892,0.3968,0.00391,7.31,2.5,4.81,SAFE,weekday_normal
132.0,FOOD_COURT_A,14.52,0.0968,1.1539,0.0521,60.12,0.0842,0.4134,0.002958,10.82,3.8,7.02,SAFE,weekday_normal
133.0,FOOD_COURT_A,17.45,0.1163,1.188,0.0305,38.35,0.0727,0.3528,0.002726,7.7,3.58,4.12,SAFE,weekday_normal
134.0,FOOD_COURT_A,31.04,0.2069,0.7299,0.073,83.14,0.2656,0.5263,0.011108,8.03,3.79,4.23,WARNING,weekday_normal
135.0,FOOD_COURT_A,26.67,0.1778,1.0216,0.1545,58.0,0.1263,0.3864,0.005009,6.5,2.92,3.58,SAFE,weekday_normal
136.0,FOOD_COURT_A,13.75,0.0916,1.3062,0.1373,72.93,0.0646,0.3784,0.003423,7.55,4.98,2.56,SAFE,weekday_normal
137.0,FOOD_COURT_A,12.03,0.0802,1.3266,0.1431,47.33,0.0194,0.3476,0.003675,4.88,1.28,3.6,SAFE,weekday_normal
138.0,FOOD_COURT_A,12.57,0.0838,1.2326,0.0429,67.33,0.0284,0.3809,0.004838,2.21,2.21,0.0,SAFE,weekday_normal
139.0,FOOD_COURT_A,16.0,0.1067,1.4672,0.0741,44.67,0.0936,0.3434,0.006108,7.11,4.52,2.59,SAFE,weekday_normal
140.0,FOOD_COURT_A,19.15,0.1277,1.4414,0.1515,57.65,0.0918,0.4502,0.003036,5.29,3.75,1.54,SAFE,weekday_normal
141.0,FOOD_COURT_A,20.99,0.14,1.6248,0.1212,44.96,0.0887,0.3019,0.00165,7.64,5.3,2.34,SAFE,weekday_normal
142.0,FOOD_COURT_A,18.49,0.1232,1.2511,0.1182,37.56,0.0607,0.4445,0.003445,6.91,5.47,1.45,SAFE,weekday_normal
143.0,FOOD_COURT_A,17.43,0.1162,1.4478,0.1288,47.55,0.1348,0.3593,0.004433,7.31,3.59,3.73,SAFE,weekday_normal
144.0,FOOD_COURT_A,24.54,0.1636,1.3782,0.0728,49.54,0.112,0.3701,0.002597,2.3,1.58,0.72,SAFE,weekday_normal
145.0,FOOD_COURT_A,10.65,0.071,1.2147,0.0802,49.59,0.1125,0.4633,0.002063,7.0,3.25,3.75,SAFE,weekday_normal
146.0,FOOD_COURT_A,25.29,0.1686,1.1799,0.1314,54.09,0.0606,0.4612,0.003176,6.73,3.55,3.18,SAFE,weekday_normal
147.0,FOOD_COURT_A,21.95,0.1463,1.1015,0.134,60.73,0.0748,0.4443,0.005436,11.09,3.86,7.23,SAFE,weekday_normal
148.0,FOOD_COURT_A,32.24,0.2149,1.2796,0.124,59.17,0.061,0.4535,0.00338,8.04,3.47,4.57,SAFE,weekday_normal
149.0,FOOD_COURT_A,41.73,0.2782,0.8125,0.2437,74.09,0.2835,0.7289,0.010795,11.77,4.01,7.76,WARNING,weekday_normal
150.0,FOOD_COURT_A,53.18,0.3545,0.8821,0.2376,69.37,0.2773,0.6373,0.008778,9.89,1.76,8.12,WARNING,weekday_normal
151.0,FOOD_COURT_A,57.05,0.3803,0.5409,0.214,60.61,0.3956,0.6285,0.019987,12.7,5.59,7.11,WARNING,weekday_normal
152.0,FOOD_COURT_A,69.08,0.4605,0.855,0.4444,101.42,0.2989,0.7225,0.014372,19.72,10.28,9.44,WARNING,weekday_normal
153.0,FOOD_COURT_A,54.76,0.3651,0.7226,0.5027,76.95,0.3001,0.6426,0.006179,13.14,6.79,6.35,WARNING,weekday_normal
154.0,FOOD_COURT_A,56.46,0.3764,0.7445,0.5471,70.74,0.2896,0.6871,0.01427,15.89,6.24,9.65,WARNING,weekday_normal
155.0,FOOD_COURT_A,41.78,0.2785,0.6167,0.3518,90.19,0.1871,0.7047,0.012164,8.5,5.83,2.66,WARNING,weekday_normal
156.0,FOOD_COURT_A,71.72,0.4781,0.3671,0.5934,191.99,0.3843,0.8035,0.022301,11.7,9.86,1.84,HIGH,weekday_normal
157.0,FOOD_COURT_A,82.56,0.5504,0.222,0.7214,155.64,0.5424,0.879,0.031061,20.54,10.7,9.84,HIGH,weekday_normal
158.0,FOOD_COURT_A,65.98,0.4398,0.4937,0.4236,97.04,0.3655,0.8495,0.015877,13.87,6.96,6.9,WARNING,weekday_normal
159.0,FOOD_COURT_A,50.39,0.336,0.696,0.3734,96.79,0.3698,0.6215,0.011311,12.5,8.99,3.51,WARNING,weekday_normal
160.0,FOOD_COURT_A,22.06,0.1471,1.4714,0.1854,64.19,0.1443,0.44,0.004896,6.96,2.69,4.27,SAFE,weekday_normal
161.0,FOOD_COURT_A,18.82,0.1255,1.1036,0.1282,55.26,0.1187,0.4268,0.003055,5.71,2.26,3.45,SAFE,weekday_normal
162.0,FOOD_COURT_A,12.99,0.0866,1.1609,0.0896,69.18,0.1412,0.3212,0.002021,9.03,3.61,5.42,SAFE,weekday_normal
163.0,FOOD_COURT_A,19.11,0.1274,1.0752,0.0633,47.19,0.0717,0.3867,0.004981,6.93,3.98,2.95,SAFE,weekday_normal
164.0,FOOD_COURT_A,18.46,0.1231,1.2521,0.1023,45.32,0.0758,0.3342,0.003711,6.69,4.82,1.86,SAFE,weekday_normal
165.0,FOOD_COURT_A,20.38,0.1359,1.141,0.1489,46.29,0.0385,0.4575,0.002278,11.26,6.31,4.95,SAFE,weekday_normal
166.0,FOOD_COURT_A,25.54,0.1703,1.1487,0.0635,46.62,0.0951,0.4724,0.003951,5.79,2.86,2.93,SAFE,weekday_normal
167.0,FOOD_COURT_A,49.79,0.3319,0.7574,0.2568,63.77,0.2822,0.7621,0.005849,17.24,7.06,10.18,WARNING,weekday_normal
168.0,FOOD_COURT_A,79.78,0.5319,0.3781,0.6775,185.24,0.4074,0.8093,0.019438,26.03,10.2,15.83,HIGH,weekday_normal
169.0,FOOD_COURT_A,88.41,0.5894,0.281,0.6776,191.05,0.5075,0.8472,0.03071,21.85,7.98,13.87,HIGH,weekday_normal
170.0,FOOD_COURT_A,87.52,0.5835,0.3297,0.6996,120.59,0.5234,0.9048,0.02977,17.23,8.48,8.75,HIGH,weekday_normal
171.0,FOOD_COURT_A,62.0,0.4133,0.7575,0.4533,123.98,0.4875,0.8173,0.01582,14.6,8.01,6.59,WARNING,weekday_normal
172.0,FOOD_COURT_A,59.93,0.3996,0.5827,0.4856,84.07,0.3421,0.7579,0.011364,19.03,8.94,10.09,WARNING,weekday_normal
173.0,FOOD_COURT_A,63.89,0.4259,0.5038,0.3642,100.71,0.3392,0.7279,0.013521,18.01,8.59,9.42,WARNING,weekday_normal
174.0,FOOD_COURT_A,59.79,0.3986,0.6881,0.3076,99.34,0.2064,0.535,0.012949,17.03,9.75,7.28,WARNING,weekday_normal
175.0,FOOD_COURT_A,32.43,0.2162,0.9527,0.1585,64.79,0.1233,0.5001,0.005375,7.21,4.27,2.94,SAFE,weekday_normal
176.0,FOOD_COURT_A,29.89,0.1993,1.0336,0.1452,46.88,0.1025,0.3758,0.002438,4.13,3.64,0.5,SAFE,weekday_normal
177.0,FOOD_COURT_A,22.08,0.1472,0.9657,0.0687,55.54,0.1346,0.384,0.002595,8.67,3.61,5.07,SAFE,weekday_normal
178.0,FOOD_COURT_A,23.57,0.1571,1.3333,0.1018,54.9,0.1147,0.6209,0.000778,8.0,2.47,5.54,SAFE,weekday_normal
179.0,FOOD_COURT_A,19.85,0.1323,1.2159,0.1405,64.9,0.1272,0.604,0.003373,4.54,3.61,0.92,SAFE,weekday_normal
