sequence_id,time_sec,zone,people_count,density,avg_speed_mps,stagnation_ratio,avg_dwell_time_sec,flow_conflict_ratio,directional_entropy,acceleration_variance,zone_transitions,inflow,outflow,risk_label,risk_class
1,23,LIVE_PERFORMANCE_ZONE,187,0.743,0.986,0.435,73.32,0.351,0.812,-0.998,1,10,7,WARNING,1
1,24,MALL_CONCERT_STAGE,189,0.74,0.875,0.416,67.82,0.361,0.704,-1.183,8,9,13,WARNING,1
1,25,EVENT_ATRIUM,185,0.726,0.704,0.435,74.4,0.333,0.785,-0.625,6,3,11,WARNING,1
1,26,EVENT_ATRIUM,188,0.737,0.803,0.357,76.82,0.367,0.752,-1.26,7,11,9,WARNING,1
1,27,LIVE_PERFORMANCE_ZONE,187,0.72,0.849,0.36,76.91,0.315,0.715,-1.268,8,4,7,WARNING,1
1,28,LIVE_PERFORMANCE_ZONE,185,0.781,0.82,0.4,82,0.453,0.814,-0.375,9,8,10,WARNING,1
1,29,MALL_CONCERT_STAGE,186,0.754,0.75,0.421,81.21,0.285,0.732,-0.438,4,15,7,WARNING,1
1,30,FESTIVAL_CORRIDOR,207,0.789,0.656,0.42,85.06,0.317,0.826,-0.759,7,12,11,WARNING,1
1,31,LIVE_PERFORMANCE_ZONE,193,0.747,0.749,0.44,81.56,0.402,0.718,-0.761,5,11,14,WARNING,1
1,32,FESTIVAL_CORRIDOR,209,0.799,0.656,0.483,86.49,0.308,0.775,-1.148,2,8,13,WARNING,1
1,33,MALL_CONCERT_STAGE,202,0.788,0.858,0.43,77.15,0.453,0.711,-1.6,4,12,12,WARNING,1
1,34,EVENT_ATRIUM,216,0.822,0.736,0.538,101.37,0.328,0.781,-1.026,4,14,5,WARNING,1
1,35,MALL_CONCERT_STAGE,207,0.85,0.662,0.396,86.9,0.381,0.86,-1.108,2,4,8,WARNING,1
1,36,FESTIVAL_CORRIDOR,220,0.819,0.698,0.431,79.25,0.347,0.804,-1.128,6,18,16,WARNING,1
1,37,EVENT_ATRIUM,216,0.837,0.597,0.434,89.29,0.447,0.959,-0.903,7,10,14,WARNING,1
1,38,MALL_CONCERT_STAGE,209,0.757,0.867,0.41,83.81,0.335,0.849,-1.345,5,5,8,WARNING,1
1,39,LIVE_PERFORMANCE_ZONE,221,0.86,0.65,0.497,87.34,0.361,0.873,-1.061,5,13,10,WARNING,1
1,40,EVENT_ATRIUM,222,0.838,0.815,0.499,81.67,0.304,0.734,-0.694,4,14,9,WARNING,1
1,41,EVENT_ATRIUM,244,0.948,0.521,0.525,95.22,0.473,0.818,-0.724,6,13,16,HIGH,2
1,42,MALL_CONCERT_STAGE,233,0.919,0.652,0.486,81.24,0.405,0.788,-0.528,8,12,12,WARNING,1
1,43,MALL_CONCERT_STAGE,248,0.944,0.362,0.634,83.79,0.387,0.92,-0.101,6,18,17,HIGH,2
1,44,EVENT_ATRIUM,221,0.847,0.7,0.41,100.1,0.418,0.819,-0.608,7,7,9,WARNING,1
1,45,MALL_CONCERT_STAGE,240,0.924,0.527,0.475,82.1,0.514,0.796,-1.182,8,8,15,WARNING,1
1,46,FESTIVAL_CORRIDOR,234,0.872,0.585,0.447,78.48,0.449,0.802,-0.84,7,10,11,WARNING,1
1,47,EVENT_ATRIUM,237,0.905,0.558,0.447,85.86,0.385,0.849,-1.193,7,10,11,WARNING,1
1,48,EVENT_ATRIUM,252,0.915,0.698,0.538,88.91,0.392,0.916,-1.037,1,12,14,WARNING,1
1,49,LIVE_PERFORMANCE_ZONE,269,1,0.515,0.535,98.93,0.474,0.935,-0.665,4,21,10,HIGH,2
1,50,EVENT_ATRIUM,246,0.93,0.712,0.606,92.58,0.348,0.906,-1.747,8,8,19,HIGH,2
1,51,FESTIVAL_CORRIDOR,237,0.917,0.788,0.489,86.81,0.461,0.728,-0.911,3,11,11,WARNING,1
1,52,MALL_CONCERT_STAGE,239,0.912,0.492,0.423,81.64,0.449,0.848,-1.448,5,15,7,WARNING,1
1,53,LIVE_PERFORMANCE_ZONE,238,0.915,0.628,0.563,97.85,0.38,0.726,-0.605,6,14,10,WARNING,1
1,54,EVENT_ATRIUM,255,1,0.537,0.49,104.55,0.46,0.84,-0.821,3,14,9,HIGH,2
1,55,LIVE_PERFORMANCE_ZONE,227,0.847,0.654,0.551,76.16,0.342,0.889,-0.951,8,17,12,WARNING,1
1,56,MALL_CONCERT_STAGE,211,0.803,0.707,0.49,82.03,0.396,0.831,-0.413,3,9,11,WARNING,1
1,57,LIVE_PERFORMANCE_ZONE,239,0.897,0.5,0.568,87.5,0.421,0.91,-0.723,8,14,8,HIGH,2
1,58,LIVE_PERFORMANCE_ZONE,198,0.791,0.689,0.397,82.75,0.4,0.769,-0.834,10,7,10,WARNING,1
1,59,FESTIVAL_CORRIDOR,230,0.896,0.718,0.526,88.71,0.381,0.832,-1.214,8,10,6,WARNING,1
1,60,FESTIVAL_CORRIDOR,205,0.789,0.857,0.371,76.38,0.406,0.804,-1.137,1,7,8,WARNING,1
1,61,LIVE_PERFORMANCE_ZONE,240,0.959,0.627,0.557,100.17,0.438,0.837,-0.968,7,10,5,HIGH,2
1,62,MALL_CONCERT_STAGE,219,0.863,0.578,0.527,90.23,0.371,0.758,-0.896,12,8,10,WARNING,1
1,63,FESTIVAL_CORRIDOR,213,0.786,0.767,0.404,83.35,0.382,0.733,-1.141,7,10,7,WARNING,1
1,64,EVENT_ATRIUM,193,0.746,0.759,0.457,81.09,0.38,0.755,0.028,5,8,10,WARNING,1
1,65,EVENT_ATRIUM,209,0.831,0.497,0.407,88.81,0.481,0.808,-1.12,5,7,11,WARNING,1
1,66,FESTIVAL_CORRIDOR,186,0.688,0.944,0.355,67.42,0.245,0.688,-0.822,3,10,7,WARNING,1
1,67,MALL_CONCERT_STAGE,187,0.732,0.96,0.349,76.73,0.408,0.749,-0.627,7,12,9,WARNING,1
1,68,LIVE_PERFORMANCE_ZONE,207,0.791,0.667,0.465,73.29,0.46,0.864,-0.653,5,8,8,WARNING,1
1,69,LIVE_PERFORMANCE_ZONE,207,0.757,0.825,0.45,70.08,0.397,0.78,-0.578,6,21,10,WARNING,1
1,70,FESTIVAL_CORRIDOR,205,0.85,0.711,0.579,80.56,0.492,0.798,-0.979,2,11,9,WARNING,1
1,71,MALL_CONCERT_STAGE,200,0.75,0.782,0.389,72.86,0.361,0.78,-0.393,7,9,12,WARNING,1
1,72,LIVE_PERFORMANCE_ZONE,187,0.667,0.939,0.356,77.01,0.328,0.708,-1.291,9,8,8,WARNING,1
1,73,EVENT_ATRIUM,184,0.688,0.733,0.286,78.86,0.323,0.767,-0.214,4,6,6,WARNING,1
1,74,FESTIVAL_CORRIDOR,201,0.749,0.919,0.359,83.58,0.372,0.765,0.092,2,6,13,WARNING,1
1,75,FESTIVAL_CORRIDOR,198,0.774,0.697,0.514,71.56,0.408,0.826,-1.054,11,7,9,WARNING,1
1,76,LIVE_PERFORMANCE_ZONE,174,0.673,0.771,0.375,71.04,0.317,0.713,-0.481,4,9,7,WARNING,1
1,77,EVENT_ATRIUM,163,0.611,0.865,0.305,65.7,0.274,0.587,-0.427,7,7,10,SAFE,0
1,78,LIVE_PERFORMANCE_ZONE,184,0.727,0.818,0.383,62.69,0.346,0.913,-1.217,10,4,5,WARNING,1
1,79,LIVE_PERFORMANCE_ZONE,192,0.744,0.78,0.39,85.39,0.395,0.721,-0.653,6,11,8,WARNING,1
1,80,LIVE_PERFORMANCE_ZONE,209,0.827,0.828,0.488,86.89,0.429,0.798,-1.428,6,6,5,WARNING,1
1,81,MALL_CONCERT_STAGE,199,0.726,0.56,0.408,88.68,0.398,0.76,-0.953,8,7,6,WARNING,1
1,82,FESTIVAL_CORRIDOR,185,0.68,0.869,0.427,59.24,0.279,0.733,-0.583,2,9,10,WARNING,1
1,83,MALL_CONCERT_STAGE,165,0.592,1.048,0.31,62.58,0.303,0.657,0.063,5,10,4,SAFE,0
1,84,LIVE_PERFORMANCE_ZONE,184,0.71,0.872,0.377,81.2,0.303,0.811,-0.961,5,6,13,WARNING,1
1,85,MALL_CONCERT_STAGE,177,0.675,0.798,0.331,83.7,0.32,0.686,-0.754,8,10,7,WARNING,1
1,86,EVENT_ATRIUM,163,0.626,0.903,0.317,75.33,0.269,0.717,-0.753,10,9,7,WARNING,1
1,87,MALL_CONCERT_STAGE,188,0.706,0.826,0.417,73.89,0.289,0.69,-0.474,6,6,7,WARNING,1
1,88,FESTIVAL_CORRIDOR,182,0.718,0.578,0.495,70.32,0.354,0.66,-0.922,9,11,11,WARNING,1
1,89,LIVE_PERFORMANCE_ZONE,192,0.726,0.593,0.409,79.14,0.365,0.811,-1.156,7,2,7,WARNING,1
2,0,MALL_CONCERT_STAGE,157,0.575,1.032,0.383,74.38,0.257,0.709,-0.577,4,9,8,SAFE,0
2,1,LIVE_PERFORMANCE_ZONE,165,0.606,0.749,0.341,74.05,0.331,0.724,-0.711,7,12,6,WARNING,1
2,2,MALL_CONCERT_STAGE,168,0.701,0.642,0.453,72.81,0.259,0.757,-0.867,7,7,9,WARNING,1
2,3,MALL_CONCERT_STAGE,151,0.618,0.908,0.312,68.56,0.317,0.746,-0.187,4,7,7,WARNING,1
2,4,FESTIVAL_CORRIDOR,173,0.706,0.973,0.413,76.48,0.296,0.732,-1.018,6,6,6,WARNING,1
2,5,LIVE_PERFORMANCE_ZONE,184,0.729,0.729,0.486,76.63,0.34,0.735,-1.351,7,8,9,WARNING,1
2,6,FESTIVAL_CORRIDOR,153,0.532,1.052,0.225,48.53,0.306,0.681,-0.742,6,10,10,SAFE,0
2,7,EVENT_ATRIUM,160,0.614,0.927,0.242,67.02,0.267,0.663,-0.186,4,8,10,SAFE,0
2,8,EVENT_ATRIUM,154,0.569,1.025,0.299,65.68,0.187,0.677,-0.579,3,11,8,SAFE,0
2,9,MALL_CONCERT_STAGE,147,0.583,0.947,0.291,59.48,0.252,0.676,-0.511,6,7,6,SAFE,0
2,10,FESTIVAL_CORRIDOR,177,0.69,0.768,0.465,71.36,0.346,0.761,-0.627,7,8,4,WARNING,1
2,11,FESTIVAL_CORRIDOR,157,0.61,1.025,0.311,53.66,0.318,0.654,-1.104,4,5,4,SAFE,0
2,12,EVENT_ATRIUM,182,0.634,0.729,0.364,76.6,0.335,0.659,-0.18,4,15,12,WARNING,1
2,13,LIVE_PERFORMANCE_ZONE,155,0.578,0.883,0.353,53.56,0.302,0.72,-0.474,5,3,6,SAFE,0
2,14,FESTIVAL_CORRIDOR,185,0.715,0.965,0.357,76.84,0.328,0.773,-0.459,6,9,2,WARNING,1
2,15,LIVE_PERFORMANCE_ZONE,181,0.715,0.899,0.494,81.97,0.356,0.825,-0.158,10,13,10,WARNING,1
2,16,MALL_CONCERT_STAGE,172,0.66,0.888,0.343,56.85,0.235,0.742,-0.635,8,10,8,WARNING,1
2,17,EVENT_ATRIUM,179,0.685,0.832,0.353,75.2,0.341,0.693,-0.81,4,10,5,WARNING,1
2,18,MALL_CONCERT_STAGE,167,0.651,0.845,0.344,73.81,0.346,0.655,-0.593,4,9,5,WARNING,1
2,19,FESTIVAL_CORRIDOR,150,0.562,1.118,0.305,39.69,0.211,0.638,-0.287,5,8,5,SAFE,0
2,20,FESTIVAL_CORRIDOR,134,0.508,1.058,0.321,69.57,0.325,0.692,-0.803,8,7,5,SAFE,0
2,21,EVENT_ATRIUM,153,0.568,0.999,0.303,47.77,0.188,0.632,-0.494,8,7,5,SAFE,0
2,22,LIVE_PERFORMANCE_ZONE,157,0.57,1.096,0.304,65.17,0.293,0.601,-0.494,3,9,4,SAFE,0
2,23,FESTIVAL_CORRIDOR,173,0.622,0.822,0.399,70.08,0.32,0.644,-1.041,4,9,4,WARNING,1
2,24,LIVE_PERFORMANCE_ZONE,154,0.554,1.059,0.299,53.12,0.3,0.627,-0.948,7,9,6,SAFE,0
2,25,EVENT_ATRIUM,150,0.57,0.983,0.263,61.66,0.302,0.706,-0.218,7,7,3,SAFE,0
2,26,MALL_CONCERT_STAGE,160,0.63,0.93,0.365,71.15,0.366,0.674,-1.238,4,5,7,WARNING,1
2,27,LIVE_PERFORMANCE_ZONE,152,0.566,0.972,0.269,71.92,0.269,0.634,-1.108,6,6,6,SAFE,0
2,28,MALL_CONCERT_STAGE,177,0.721,0.866,0.342,71.22,0.272,0.826,-0.902,5,6,7,WARNING,1
2,29,MALL_CONCERT_STAGE,150,0.628,0.925,0.427,63.11,0.374,0.734,-0.509,7,6,4,WARNING,1
2,30,LIVE_PERFORMANCE_ZONE,171,0.647,0.869,0.42,67.59,0.272,0.664,0.046,6,10,6,WARNING,1
2,31,MALL_CONCERT_STAGE,171,0.647,0.877,0.393,56.39,0.363,0.709,-0.862,2,9,6,WARNING,1
2,32,LIVE_PERFORMANCE_ZONE,148,0.595,0.871,0.266,71.49,0.3,0.717,-0.355,5,8,7,SAFE,0
2,33,EVENT_ATRIUM,148,0.554,1.069,0.33,69.17,0.287,0.6,-0.759,4,12,9,SAFE,0
2,34,FESTIVAL_CORRIDOR,164,0.581,0.848,0.318,72.72,0.304,0.693,-0.207,3,6,1,SAFE,0
2,35,LIVE_PERFORMANCE_ZONE,158,0.629,0.824,0.384,77.91,0.33,0.71,-1.049,6,3,4,WARNING,1
2,36,LIVE_PERFORMANCE_ZONE,181,0.711,0.918,0.37,66.71,0.354,0.738,-0.838,11,9,6,WARNING,1
2,37,MALL_CONCERT_STAGE,171,0.677,0.838,0.329,78.33,0.354,0.677,-0.267,1,10,5,WARNING,1
2,38,LIVE_PERFORMANCE_ZONE,167,0.672,0.84,0.27,70.91,0.242,0.733,-0.368,6,11,10,WARNING,1
2,39,FESTIVAL_CORRIDOR,183,0.718,0.81,0.365,67.79,0.378,0.791,-1.315,9,5,9,WARNING,1
2,40,FESTIVAL_CORRIDOR,148,0.598,0.931,0.396,65.83,0.258,0.694,-0.689,1,8,5,SAFE,0
2,41,EVENT_ATRIUM,158,0.597,0.876,0.362,66.33,0.259,0.728,-0.588,5,7,11,SAFE,0
2,42,FESTIVAL_CORRIDOR,191,0.687,0.833,0.448,75.75,0.31,0.651,-0.346,2,5,9,WARNING,1
2,43,LIVE_PERFORMANCE_ZONE,189,0.733,0.893,0.432,65.99,0.422,0.756,-0.585,5,8,6,WARNING,1
2,44,FESTIVAL_CORRIDOR,174,0.627,0.995,0.482,64.55,0.288,0.562,-0.229,9,5,6,WARNING,1
2,45,LIVE_PERFORMANCE_ZONE,179,0.704,0.752,0.444,64.56,0.315,0.768,-0.399,5,13,9,WARNING,1
2,46,FESTIVAL_CORRIDOR,171,0.661,0.975,0.395,74.44,0.383,0.662,-0.793,8,6,6,WARNING,1
2,47,FESTIVAL_CORRIDOR,178,0.758,0.734,0.386,91.31,0.305,0.675,-0.765,2,6,6,WARNING,1
2,48,LIVE_PERFORMANCE_ZONE,187,0.69,0.923,0.306,76.29,0.38,0.678,-1.054,4,10,10,WARNING,1
2,49,EVENT_ATRIUM,202,0.811,0.63,0.496,85.23,0.38,0.755,-1.1,7,9,14,WARNING,1
2,50,FESTIVAL_CORRIDOR,185,0.698,0.915,0.313,79.59,0.337,0.757,-0.602,6,13,6,WARNING,1
2,51,EVENT_ATRIUM,196,0.763,0.856,0.357,84.16,0.39,0.763,-0.692,7,10,12,WARNING,1
2,52,MALL_CONCERT_STAGE,182,0.664,0.853,0.336,68.43,0.34,0.763,-0.224,7,5,5,WARNING,1
2,53,FESTIVAL_CORRIDOR,179,0.741,0.897,0.388,80.85,0.336,0.708,-0.153,9,4,8,WARNING,1
2,54,EVENT_ATRIUM,188,0.699,0.841,0.373,67.09,0.367,0.749,-0.7,5,9,13,WARNING,1
2,55,LIVE_PERFORMANCE_ZONE,216,0.816,0.64,0.411,70.88,0.411,0.707,-1.283,6,9,6,WARNING,1
2,56,MALL_CONCERT_STAGE,206,0.754,0.72,0.436,72.76,0.251,0.749,-0.888,6,13,11,WARNING,1
2,57,LIVE_PERFORMANCE_ZONE,205,0.785,0.705,0.373,78,0.388,0.78,-0.764,9,4,8,WARNING,1
2,58,FESTIVAL_CORRIDOR,222,0.911,0.609,0.536,102.12,0.444,0.807,-0.713,7,12,9,HIGH,2
2,59,LIVE_PERFORMANCE_ZONE,211,0.79,0.757,0.517,82.18,0.419,0.715,-0.777,8,15,14,WARNING,1
2,60,MALL_CONCERT_STAGE,228,0.897,0.65,0.559,93.68,0.35,0.825,-0.932,6,8,11,WARNING,1
2,61,FESTIVAL_CORRIDOR,202,0.774,0.742,0.453,86.57,0.369,0.868,-0.741,4,7,13,WARNING,1
2,62,MALL_CONCERT_STAGE,226,0.902,0.526,0.467,104.95,0.489,0.869,-1.055,7,7,10,HIGH,2
2,63,LIVE_PERFORMANCE_ZONE,236,0.913,0.537,0.597,91.39,0.469,0.822,-0.803,10,13,12,HIGH,2
2,64,EVENT_ATRIUM,217,0.79,0.676,0.414,86.92,0.403,0.826,-1.091,6,16,8,WARNING,1
2,65,EVENT_ATRIUM,214,0.822,0.697,0.476,74.19,0.418,0.667,-1.078,3,7,5,WARNING,1
2,66,LIVE_PERFORMANCE_ZONE,242,0.907,0.656,0.502,87.64,0.425,0.928,-1.432,11,10,9,WARNING,1
2,67,EVENT_ATRIUM,213,0.785,0.806,0.43,87.29,0.465,0.743,-1.259,4,19,13,WARNING,1
2,68,FESTIVAL_CORRIDOR,223,0.894,0.539,0.576,95.89,0.371,0.823,-1.279,8,19,13,WARNING,1
2,69,MALL_CONCERT_STAGE,238,0.909,0.669,0.504,98.7,0.421,0.795,-0.43,9,11,12,WARNING,1
2,70,EVENT_ATRIUM,204,0.769,0.87,0.489,82.71,0.396,0.876,-0.615,5,16,8,WARNING,1
2,71,LIVE_PERFORMANCE_ZONE,209,0.858,0.597,0.555,84.94,0.412,0.875,-0.441,7,10,10,WARNING,1
2,72,EVENT_ATRIUM,211,0.839,0.683,0.334,88.22,0.443,0.754,-0.728,4,5,4,WARNING,1
2,73,EVENT_ATRIUM,237,0.901,0.631,0.47,84.16,0.409,0.822,-0.795,5,11,10,WARNING,1
2,74,EVENT_ATRIUM,213,0.822,0.75,0.451,84.23,0.369,0.787,-0.678,11,5,14,WARNING,1
2,75,FESTIVAL_CORRIDOR,232,0.878,0.66,0.393,71.5,0.455,0.833,-0.49,9,10,10,WARNING,1
2,76,LIVE_PERFORMANCE_ZONE,209,0.741,0.737,0.462,70.98,0.379,0.717,-0.521,3,14,12,WARNING,1
2,77,LIVE_PERFORMANCE_ZONE,213,0.81,0.704,0.47,84.84,0.309,0.739,-0.523,2,9,11,WARNING,1
2,78,MALL_CONCERT_STAGE,197,0.789,0.712,0.434,83.43,0.379,0.748,-1.366,7,9,10,WARNING,1
2,79,LIVE_PERFORMANCE_ZONE,199,0.769,0.866,0.371,76.75,0.362,0.687,-1.136,9,14,7,WARNING,1
2,80,FESTIVAL_CORRIDOR,190,0.676,0.816,0.329,61.62,0.361,0.735,-0.462,4,10,8,WARNING,1
2,81,FESTIVAL_CORRIDOR,184,0.714,0.766,0.372,70.32,0.285,0.75,-0.566,8,10,9,WARNING,1
2,82,MALL_CONCERT_STAGE,192,0.746,0.898,0.401,82.4,0.352,0.792,-0.884,7,7,11,WARNING,1
2,83,LIVE_PERFORMANCE_ZONE,184,0.743,0.83,0.307,78.84,0.344,0.695,-0.677,2,6,8,WARNING,1
2,84,FESTIVAL_CORRIDOR,171,0.687,0.757,0.433,77.35,0.384,0.729,-1.036,5,8,7,WARNING,1
2,85,MALL_CONCERT_STAGE,187,0.702,0.898,0.386,76.93,0.299,0.707,-0.922,8,11,6,WARNING,1
2,86,EVENT_ATRIUM,208,0.88,0.618,0.438,100.2,0.409,0.842,-0.478,3,9,3,WARNING,1
2,87,EVENT_ATRIUM,189,0.724,0.901,0.411,83.55,0.396,0.694,-0.501,8,12,6,WARNING,1
2,88,FESTIVAL_CORRIDOR,186,0.72,0.946,0.354,74.13,0.34,0.777,-0.325,5,9,2,WARNING,1
2,89,EVENT_ATRIUM,177,0.651,0.883,0.397,68.76,0.36,0.759,-0.399,3,13,3,WARNING,1
3,0,LIVE_PERFORMANCE_ZONE,188,0.724,0.782,0.45,71.97,0.364,0.69,0.017,2,11,14,WARNING,1
3,1,FESTIVAL_CORRIDOR,213,0.863,0.706,0.449,79.51,0.294,0.834,-0.688,6,17,10,WARNING,1
3,2,EVENT_ATRIUM,212,0.849,0.735,0.48,84.3,0.384,0.891,-1.124,5,19,5,WARNING,1
3,3,FESTIVAL_CORRIDOR,207,0.77,0.773,0.464,79.06,0.373,0.746,-0.808,5,7,12,WARNING,1
3,4,EVENT_ATRIUM,212,0.819,0.78,0.476,83.7,0.381,0.796,-1.965,5,12,12,WARNING,1
3,5,LIVE_PERFORMANCE_ZONE,204,0.818,0.782,0.477,77.26,0.351,0.806,-0.791,3,15,7,WARNING,1
3,6,FESTIVAL_CORRIDOR,189,0.719,0.891,0.435,75.63,0.306,0.778,-0.768,9,9,5,WARNING,1
3,7,EVENT_ATRIUM,201,0.758,0.67,0.477,72.81,0.34,0.677,-0.813,5,15,10,WARNING,1
3,8,LIVE_PERFORMANCE_ZONE,203,0.788,0.74,0.473,87.5,0.336,0.827,-1.246,2,13,7,WARNING,1
3,9,FESTIVAL_CORRIDOR,220,0.875,0.473,0.599,90.25,0.401,0.857,-1.242,10,8,7,WARNING,1
3,10,FESTIVAL_CORRIDOR,198,0.747,0.848,0.327,75.55,0.349,0.79,-0.583,5,11,6,WARNING,1
3,11,FESTIVAL_CORRIDOR,200,0.754,0.986,0.456,70.11,0.293,0.741,-0.386,3,9,5,WARNING,1
3,12,MALL_CONCERT_STAGE,215,0.838,0.686,0.416,91.1,0.435,0.754,-0.743,5,11,11,WARNING,1
3,13,FESTIVAL_CORRIDOR,206,0.806,0.668,0.543,86.52,0.439,0.847,-0.73,6,5,11,WARNING,1
3,14,LIVE_PERFORMANCE_ZONE,196,0.669,0.82,0.433,57.01,0.283,0.74,-1.521,8,7,6,WARNING,1
3,15,EVENT_ATRIUM,194,0.741,0.767,0.357,79.72,0.365,0.721,-0.686,10,14,11,WARNING,1
3,16,FESTIVAL_CORRIDOR,213,0.891,0.795,0.456,100.65,0.443,0.865,-1.505,7,10,10,WARNING,1
3,17,EVENT_ATRIUM,198,0.745,0.75,0.372,79.48,0.373,0.801,-0.568,5,11,12,WARNING,1
3,18,EVENT_ATRIUM,213,0.811,0.744,0.386,79.38,0.385,0.732,-1.139,6,12,11,WARNING,1
3,19,LIVE_PERFORMANCE_ZONE,202,0.76,0.865,0.417,75.22,0.334,0.777,-0.934,5,14,8,WARNING,1
3,20,LIVE_PERFORMANCE_ZONE,188,0.725,0.841,0.435,71.15,0.322,0.72,-0.592,2,7,10,WARNING,1
3,21,EVENT_ATRIUM,194,0.769,0.823,0.465,78.28,0.289,0.722,-1.122,3,12,12,WARNING,1
3,22,LIVE_PERFORMANCE_ZONE,199,0.692,0.821,0.453,67.13,0.271,0.752,-0.537,5,11,5,WARNING,1
3,23,LIVE_PERFORMANCE_ZONE,212,0.758,0.861,0.449,76.07,0.357,0.83,-1.085,8,10,9,WARNING,1
3,24,EVENT_ATRIUM,206,0.817,0.658,0.416,72.67,0.372,0.759,-0.994,9,6,8,WARNING,1
3,25,LIVE_PERFORMANCE_ZONE,216,0.846,0.67,0.447,68.84,0.435,0.867,-1.283,7,9,3,WARNING,1
3,26,MALL_CONCERT_STAGE,208,0.744,0.943,0.437,82.87,0.318,0.773,-0.705,4,13,9,WARNING,1
3,27,EVENT_ATRIUM,201,0.765,0.858,0.47,71.34,0.36,0.807,-0.58,11,18,6,WARNING,1
3,28,MALL_CONCERT_STAGE,212,0.839,0.593,0.483,73.21,0.38,0.795,-0.285,5,15,9,WARNING,1
3,29,FESTIVAL_CORRIDOR,241,0.962,0.588,0.42,99.01,0.483,0.815,-0.879,5,13,8,HIGH,2
3,30,MALL_CONCERT_STAGE,229,0.849,0.721,0.459,86.09,0.372,0.797,-1.24,6,17,9,WARNING,1
3,31,MALL_CONCERT_STAGE,236,0.899,0.453,0.435,96.02,0.496,0.845,-1.263,8,14,9,WARNING,1
3,32,EVENT_ATRIUM,215,0.827,0.568,0.512,82.72,0.442,0.779,-1.045,8,9,9,WARNING,1
3,33,FESTIVAL_CORRIDOR,252,0.963,0.569,0.579,100.41,0.493,0.813,-1.267,5,14,14,HIGH,2
3,34,MALL_CONCERT_STAGE,215,0.88,0.658,0.414,85.31,0.427,0.919,-1.292,5,18,10,WARNING,1
3,35,EVENT_ATRIUM,226,0.892,0.699,0.486,81.68,0.5,0.797,-1.424,10,5,8,WARNING,1
3,36,MALL_CONCERT_STAGE,243,0.953,0.611,0.527,96.31,0.469,0.843,-1.578,4,9,17,HIGH,2
